"TestName","Expected","Actual","Pass","Notes"
"F15c â€” T70 Leaf 3 in_progress to complete","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"F16 â€” T70 Branch rollup (3/3 complete)","{""ok"":true,""error_code"":null,""rollup_present"":true,""total_active_children_count"":3,""completed_children_count"":3,""completion_ratio"":1}","ok=True error=none","PASS",""
"G01 â€” T71 Create Branch (non-leaf baseline)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G02 â€” T71 Create LEAF_A (dependency target)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G03 â€” T71 Create LEAF_B (depends on LEAF_A)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G04 â€” T71 MANUAL STEP: Insert dependency B depends on A","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: T71_DEPENDENCY_INSERTED"
"G05 â€” T71 LEAF_B null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G06 â€” T71 LEAF_B not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G07 â€” T71 LEAF_B in_progress to complete (BLOCKED â€” LEAF_A not complete)","{""ok"":false,""error_code"":""DEPENDENCY_INCOMPLETE""}","ok=True error=none","FAIL","Expected ok=False, got ok=True; Expected error=DEPENDENCY_INCOMPLETE, got="
"G08 â€” T71 LEAF_A null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G09 â€” T71 LEAF_A not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G10 â€” T71 LEAF_A in_progress to complete (no dependency on A)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G11 â€” T71 LEAF_B in_progress to complete (UNBLOCKED â€” LEAF_A now complete)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G12 â€” T71 Create LEAF_C (no dependencies)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G13 â€” T71 LEAF_C null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G14 â€” T71 LEAF_C not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G15 â€” T71 LEAF_C in_progress to complete (no dependencies â€” bypass)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G16 â€” T71 Branch null to not_started (non-leaf setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G17 â€” T71 Branch not_started to in_progress (non-leaf setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G18 â€” T71 Branch in_progress to complete (non-leaf â€” no dependency check)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"VERIFY Journal (A01) [a2fb1646]","extension=object, tags=array","extension=object; tags=array(2); v=2","PASS",""
"VERIFY Project (A04) [476ba506]","extension=object, tags=array","extension=object; tags=array(2); v=5","PASS",""
"VERIFY Snapshot (A11) [80e12613]","extension=object, tags=array","extension=object; tags=array(1); v=1","PASS",""
"VERIFY Restart (A13) [eee924cd]","extension=object, tags=array","extension=object; tags=array(1); v=1","PASS",""
"VERIFY Fuzz Journal (B01) [1b4f2032]","extension=object, tags=array","extension=object; tags=array(2); v=1","PASS",""
"VERIFY Fuzz Project (B02) [ee86e999]","extension=object, tags=array","extension=object; tags=array(0); v=1","PASS",""
